Municipio,Hoy 17/07,18/07,19/07,20/07,21/07,22/07,23/07
Tarazona (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Tarazona de Guareña (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Alto,Extremo,Muy alto
Tarazona de la Mancha (Albacete),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Tardajos (Burgos),Moderado,Moderado,Moderado,Moderado,Muy alto,Alto,Muy alto
Tardelcuende (Soria),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Tardienta (Huesca),Muy alto,Moderado,Moderado,Moderado,Alto,Moderado,Extremo
Tardáguila (Salamanca),Alto,Alto,Muy alto,Muy alto,Alto,Extremo,Muy alto
Tariego de Cerrato (Palencia),Moderado,Moderado,Moderado,Muy alto,Moderado,Muy alto,Moderado
Tarifa (Cádiz),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Taroda (Soria),Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto,Muy alto
Tarragona (Tarragona),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Tarroja de Segarra (Lleida),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Tarrés (Lleida),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Muy alto
Tartanedo (Guadalajara),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Tauste (Zaragoza),Alto,Moderado,Moderado,Moderado,Muy alto,Alto,Extremo
Tavernes Blanques (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Tavernes de la Valldigna (Valencia),Moderado,Moderado,Moderado,Moderado,Bajo,Moderado,Moderado
Tavertet (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Tavèrnoles (Barcelona),Extremo,Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto
Tazacorte (Tenerife),Bajo,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Teba (Málaga),Alto,Muy alto,Muy alto,Alto,Alto,Muy alto,Extremo
Tegueste (Tenerife),Moderado,Moderado,Alto,Alto,Moderado,Moderado,Moderado
Teguise (Las Palmas),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Teià (Barcelona),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Tejada (Burgos),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Tejadillos (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Tejado (Soria),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Tejeda (Las Palmas),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Tejeda de Tiétar (Cáceres),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Tejeda y Segoyuela (Salamanca),Moderado,Alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Telde (Las Palmas),Moderado,Moderado,Moderado,Moderado,Moderado,Alto,Muy alto
Tella-Sin (Huesca),Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Tembleque (Toledo),Alto,Extremo,Muy alto,Muy alto,Alto,Extremo,Muy alto
Tendilla (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Tenebrón (Salamanca),Moderado,Moderado,Alto,Muy alto,Muy alto,Extremo,Muy alto
Teo (A Coruña),Bajo,Moderado,Moderado,Bajo,Moderado,Alto,Alto
Teresa (Castellón),Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto,Muy alto
Teresa de Cofrentes (Valencia),Muy alto,Moderado,Alto,Alto,Moderado,Moderado,Muy alto
Teror (Las Palmas),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Terque (Almería),Extremo,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Terrades (Girona),Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto,Extremo
Terradillos (Salamanca),Alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Terradillos de Esgueva (Burgos),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Terrassa (Barcelona),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Moderado
Terrateig (Valencia),Moderado,Moderado,Moderado,Moderado,Bajo,Moderado,Moderado
Terrer (Zaragoza),Muy alto,Extremo,Muy alto,Muy alto,Extremo,Extremo,Muy alto
Terriente (Teruel),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Terrinches (Ciudad Real),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Terroba (La Rioja),Alto,Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Teruel (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Terzaga (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Teulada (Alicante),Alto,Muy bajo,Muy bajo,Muy bajo,Alto,Moderado,Muy bajo
Teverga (Asturias),Muy bajo,Muy bajo,Muy bajo,Bajo,Bajo,Bajo,Moderado
Tiana (Barcelona),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Tibi (Alicante),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Moderado,Moderado
Tiebas-Muruarte de Reta (Navarra),Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Tiedra (Valladolid),Alto,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Tielmes (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Tierga (Zaragoza),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Tierz (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Tierzo (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Tijarafe (Tenerife),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Tinajas (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Tinajo (Las Palmas),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Tineo (Asturias),Muy bajo,Muy bajo,Muy bajo,Bajo,Moderado,Moderado,Moderado
Tinieblas de la Sierra (Burgos),Muy alto,Alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Tirapu (Navarra),Alto,Alto,Alto,Muy alto,Extremo,Muy alto,Extremo
Tirgo (La Rioja),Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Titaguas (Valencia),Extremo,Muy alto,Extremo,Extremo,Muy alto,Extremo,Muy alto
Titulcia (Madrid),Muy alto,Extremo,Extremo,Muy alto,Muy alto,Extremo,Extremo
Tiurana (Lleida),Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Tivenys (Tarragona),Moderado,Alto,Moderado,Alto,Muy alto,Muy alto,Muy alto
Tivissa (Tarragona),Moderado,Muy alto,Alto,Muy alto,Muy alto,Alto,Muy alto
Tiétar (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Tiñosillos (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Tobar (Burgos),Moderado,Alto,Moderado,Alto,Muy alto,Muy alto,Muy alto
Tobarra (Albacete),Muy alto,Extremo,Muy alto,Muy alto,Extremo,Extremo,Extremo
Tobed (Zaragoza),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Tobía (La Rioja),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Tocina (Sevilla),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Todolella (Castellón),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Extremo
Toga (Castellón),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto
Tolbaños (Ávila),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Toledo (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Tollos (Alicante),Muy alto,Alto,Alto,Alto,Moderado,Moderado,Moderado
Tolocirio (Segovia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Tolosa (Guipúzcoa),Moderado,Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo
Tolox (Málaga),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Tolva (Huesca),Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Tomares (Sevilla),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Tomelloso (Ciudad Real),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Tomiño (Pontevedra),Moderado,Muy alto,Moderado,Moderado,Moderado,Moderado,Alto
Tona (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Topas (Salamanca),Moderado,Moderado,Muy alto,Muy alto,Moderado,Extremo,Muy alto
Toques (A Coruña),Muy bajo,Bajo,Bajo,Alto,Muy alto,Muy alto,Muy alto
Toral de los Guzmanes (León),Bajo,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Toral de los Vados (León),Muy bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Tordehumos (Valladolid),Muy alto,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Tordellego (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Tordelrábano (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Moderado
Tordera (Barcelona),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto
Tordesillas (Valladolid),Alto,Alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Tordesilos (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Tordillos (Salamanca),Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Extremo,Extremo
Tordoia (A Coruña),Muy bajo,Bajo,Bajo,Moderado,Alto,Alto,Muy alto
Tordómar (Burgos),Muy alto,Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Torelló (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Toreno (León),Bajo,Moderado,Alto,Muy alto,Extremo,Extremo,Extremo
Torija (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Toril (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Moderado,Muy alto,Extremo
Toril y Masegoso (Teruel),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torla-Ordesa (Huesca),Moderado,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torlengua (Soria),Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto,Muy alto
Tormantos (La Rioja),Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto,Extremo
Tormellas (Ávila),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Tormos (Alicante),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Tormón (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Tornabous (Lleida),Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo
Tornadizos de Ávila (Ávila),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Tornavacas (Cáceres),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Tornos (Teruel),Muy alto,Extremo,Extremo,Muy alto,Muy alto,Muy alto,Muy alto
Toro (Zamora),Moderado,Moderado,Moderado,Alto,Alto,Muy alto,Muy alto
Torquemada (Palencia),Alto,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Torralba (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torralba de Aragón (Huesca),Muy alto,Moderado,Moderado,Moderado,Alto,Moderado,Extremo
Torralba de Calatrava (Ciudad Real),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Torralba de Oropesa (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Torralba de Ribota (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Torralba de los Frailes (Zaragoza),Muy alto,Extremo,Extremo,Extremo,Muy alto,Muy alto,Muy alto
Torralba de los Sisones (Teruel),Muy alto,Extremo,Extremo,Muy alto,Muy alto,Muy alto,Muy alto
Torralba del Pinar (Castellón),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto
Torralba del Río (Navarra),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Torralbilla (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Torre Alháquime (Cádiz),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Torre Val de San Pedro (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torre de Arcas (Teruel),Moderado,Moderado,Moderado,Moderado,Alto,Alto,Extremo
Torre de Don Miguel (Cáceres),Alto,Muy alto,Alto,Muy alto,Muy alto,Extremo,Extremo
Torre de Esgueva (Valladolid),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Torre de Juan Abad (Ciudad Real),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torre de Miguel Sesmero (Badajoz),Moderado,Muy alto,Alto,Moderado,Moderado,Alto,Extremo
Torre de Peñafiel (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Torre de Santa María (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Torre de las Arcas (Teruel),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Torre del Bierzo (León),Muy bajo,Bajo,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Torre del Burgo (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Torre del Compte (Teruel),Muy alto,Muy alto,Alto,Muy alto,Alto,Alto,Extremo
Torre en Cameros (La Rioja),Alto,Alto,Alto,Muy alto,Muy alto,Extremo,Extremo
Torre la Ribera (Huesca),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Torre los Negros (Teruel),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Torre-Cardela (Granada),Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo
Torre-Pacheco (Murcia),Muy alto,Moderado,Alto,Muy alto,Moderado,Moderado,Moderado
Torre-serona (Lleida),Muy alto,Alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Torreadrada (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torrebaja (Valencia),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torrebesses (Lleida),Muy alto,Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo
Torreblacos (Soria),Moderado,Alto,Muy alto,Muy alto,Alto,Muy alto,Muy alto
Torreblanca (Castellón),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Alto,Muy alto
Torreblascopedro (Jaén),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Torrecaballeros (Segovia),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torrecampo (Córdoba),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Extremo
Torrechiva (Castellón),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto
Torrecilla de Alcañiz (Teruel),Muy alto,Muy alto,Alto,Muy alto,Alto,Muy alto,Extremo
Torrecilla de la Abadesa (Valladolid),Moderado,Moderado,Moderado,Alto,Alto,Muy alto,Muy alto
Torrecilla de la Jara (Toledo),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Torrecilla de la Orden (Valladolid),Alto,Alto,Muy alto,Muy alto,Alto,Extremo,Muy alto
Torrecilla de la Torre (Valladolid),Alto,Moderado,Alto,Muy alto,Muy alto,Extremo,Muy alto
Torrecilla de los Ángeles (Cáceres),Alto,Muy alto,Alto,Muy alto,Muy alto,Extremo,Extremo
Torrecilla del Monte (Burgos),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Torrecilla del Pinar (Segovia),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Muy alto
Torrecilla del Rebollar (Teruel),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Torrecilla en Cameros (La Rioja),Alto,Alto,Alto,Muy alto,Muy alto,Extremo,Extremo
Torrecilla sobre Alesanco (La Rioja),Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Torrecillas de la Tiesa (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Torrecuadrada de Molina (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torrecuadradilla (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Torredelcampo (Jaén),Moderado,Muy alto,Alto,Moderado,Moderado,Alto,Muy alto
Torredembarra (Tarragona),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Torredonjimeno (Jaén),Moderado,Muy alto,Alto,Moderado,Moderado,Muy alto,Muy alto
Torrefarrera (Lleida),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Torrefeta i Florejacs (Lleida),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torregalindo (Burgos),Muy alto,Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo
Torregamones (Zamora),Muy alto,Moderado,Alto,Muy alto,Muy alto,Extremo,Muy alto
Torregrossa (Lleida),Muy alto,Alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto
Torrehermosa (Zaragoza),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Torreiglesias (Segovia),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torrejoncillo (Cáceres),Alto,Alto,Alto,Muy alto,Alto,Extremo,Extremo
Torrejoncillo del Rey (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torrejón de Ardoz (Madrid),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Torrejón de Velasco (Madrid),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Torrejón de la Calzada (Madrid),Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Extremo,Extremo
Torrejón del Rey (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torrejón el Rubio (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Moderado,Muy alto,Extremo
Torrelacárcel (Teruel),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Torrelaguna (Madrid),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torrelameu (Lleida),Muy alto,Alto,Muy alto,Muy alto,Extremo,Extremo,Muy alto
Torrelapaja (Zaragoza),Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto,Muy alto
Torrelara (Burgos),Alto,Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto
Torrelavega (Cantabria),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Torrelavit (Barcelona),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Torrella (Valencia),Muy alto,Moderado,Moderado,Bajo,Bajo,Moderado,Moderado
Torrellas (Zaragoza),Alto,Alto,Alto,Alto,Muy alto,Muy alto,Extremo
Torrelles de Foix (Barcelona),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Torrelles de Llobregat (Barcelona),Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo
Torrelobatón (Valladolid),Alto,Moderado,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Torrelodones (Madrid),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torremayor (Badajoz),Alto,Muy alto,Alto,Moderado,Moderado,Alto,Extremo
Torremejía (Badajoz),Alto,Muy alto,Muy alto,Alto,Moderado,Muy alto,Extremo
Torremenga (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Torremocha (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
Torremocha de Jadraque (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Torremocha de Jarama (Madrid),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torremocha de Jiloca (Teruel),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Torremocha del Campo (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Torremocha del Pinar (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torremochuela (Guadalajara),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Muy alto
Torremolinos (Málaga),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Torremontalbo (La Rioja),Moderado,Alto,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Torremormojón (Palencia),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Torrent (Girona),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Torrent (Valencia),Muy alto,Moderado,Moderado,Moderado,Moderado,Moderado,Alto
Torrente de Cinca (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Torrenueva (Ciudad Real),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torrenueva Costa (Granada),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Torreorgaz (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
Torrepadre (Burgos),Moderado,Alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto
Torreperogil (Jaén),Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Torrequemada (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Moderado,Muy alto,Extremo
Torres (Jaén),Moderado,Alto,Alto,Alto,Muy alto,Muy alto,Extremo
Torres Torres (Valencia),Alto,Moderado,Moderado,Moderado,Alto,Moderado,Alto
Torres de Albarracín (Teruel),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torres de Albánchez (Jaén),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Torres de Alcanadre (Huesca),Muy alto,Alto,Alto,Alto,Muy alto,Alto,Extremo
Torres de Barbués (Huesca),Muy alto,Alto,Moderado,Alto,Muy alto,Alto,Extremo
Torres de Berrellén (Zaragoza),Alto,Moderado,Moderado,Moderado,Muy alto,Moderado,Extremo
Torres de Segre (Lleida),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Muy alto,Muy alto
Torres de la Alameda (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Torres del Carrizal (Zamora),Alto,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Torres del Río (Navarra),Moderado,Alto,Moderado,Alto,Muy alto,Muy alto,Muy alto
Torresandino (Burgos),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Torrescárcela (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Torresmenudas (Salamanca),Moderado,Moderado,Moderado,Moderado,Moderado,Muy alto,Moderado
Torrevelilla (Teruel),Muy alto,Muy alto,Alto,Muy alto,Alto,Muy alto,Extremo
Torrevieja (Alicante),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Torrico (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Torrijas (Teruel),Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto,Extremo
Torrijo de la Cañada (Zaragoza),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Torrijo del Campo (Teruel),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Torrijos (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Torroella de Fluvià (Girona),Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Torroella de Montgrí (Girona),Moderado,Moderado,Alto,Alto,Muy alto,Alto,Muy alto
Torroja del Priorat (Tarragona),Muy alto,Extremo,Muy alto,Extremo,Extremo,Alto,Extremo
Torrox (Málaga),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Moderado,Muy alto
Torrubia (Guadalajara),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Torrubia de Soria (Soria),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Torrubia del Campo (Cuenca),Alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Torrubia del Castillo (Cuenca),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Tortellà (Girona),Muy alto,Moderado,Muy alto,Muy alto,Extremo,Extremo,Extremo
Tortosa (Tarragona),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Tortuera (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Tortuero (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Torvizcón (Granada),Extremo,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
Torà (Lleida),Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Torás (Castellón),Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto,Extremo
Tosantos (Burgos),Moderado,Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Toses (Girona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Tosos (Zaragoza),Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Tossa de Mar (Girona),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Totalán (Málaga),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Alto
Totana (Murcia),Extremo,Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto
Totanés (Toledo),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Touro (A Coruña),Muy bajo,Bajo,Moderado,Moderado,Alto,Alto,Alto
Tous (Valencia),Muy alto,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Toén (Ourense),Muy bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto
